sub_id;date;time;stranger;cond_id;age;gender;q03;q04;q05;q05_1;q06;q07;q07_1;q08;q09;q10_1;q10_2;q10_3;q10_4;q10_5;q11;q12_1;q12_2;q12_3;q12_4;q12_5;q13_1;q13_2;q13_3;q13_4;q14_1;q14_2;q14_3
sub-01;01-11-2024;11;0;1;27;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;3;1;1;0;0;0;1;1;0;0;[1, 11];[2, 8];[2, 8]
sub-02;05-11-2024;10;0;2;25;0;0;1;1;7;0;0;0;0;2;0;1;0;0;0;2;0;1;0;0;0;1;1;1;0;[5, 10];[4, 10];[1, 11]
sub-03;05-11-2024;14;0;1;26;0;0;1;0;0;1;0;0;0;2;1;1;1;0;rechts und links nach Einprägung im Nachhall;2;0;1;1;0;0;1;1;1;links rechts Wahrnehmung Augen zu und selbsttest ueberpruefung nach augen wieder oeffnen;[2, 8];[1, 8];[1, 10]
sub-04;19-11-2024;15.5;0;2;26;0;0;1;0;0;1;0;0;0;-2;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;[1, 11];[4, 10];[1, 11]
sub-05;15-11-2024;10;2;1;33;1;0;1;1;8;0;0;0;0;2;1;1;0;0;0;2;0;1;0;0;0;1;0;1;0;[2, 10];[2, 7];[2, 11]
sub-06;04-11-2024;10;2;2;38;1;0;1;0;0;0;0;0;0;3;1;0;1;1;0;2;0;1;0;0;0;0;1;1;0;[5, 11];[8, 10];[2, 10]
sub-07;26-11-2024;14;1;1;29;0;0;1;1;6;0;0;0;0;-2;0;1;0;1;0;2;0;1;1;0;0;0;1;1;die Augen geschlossen;[1, 11];[2, 8];[1, 10]
sub-08;21-11-2024;15.5;0;2;27;0;0;1;0;0;1;0;0;0;1;0;1;1;0;Grundrauschen der Lautsprecher;2;1;0;0;0;0;0;0;0;Boden abgeglichen mit Lautsprecher;[2, 11];[5, 9];[2, 9]
sub-09;08-11-2024;11.5;1;1;25;1;0;1;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;Punkte auf dem Boden neben den LEDs fixiert und dem Lautsprecher zugeordnet;[2, 6];[2, 6];[2, 6]
sub-10;08-11-2024;10;0;2;25;0;0;1;0;0;0;0;0;0;3;0;1;0;1;0;0;0;1;1;1;0;1;0;1;0;[1, 11];[1, 11];[1, 11]
sub-11;29-11-2024;13.5;1;1;26;1;0;1;1;6;0;0;0;0;3;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;[1, 11];[2, 8];[1, 11]
sub-12;11-11-2024;10;2;2;34;1;0;1;1;6;0;0;0;0;-1;1;1;1;1;wie raeumlich flach immersiv sie mir erschien;1;0;0;1;0;0;0;0;1;0;[6, 11];[6, 11];[1, 11]
sub-13;21-11-2024;14;2;1;31;1;1;1;0;0;0;0;0;0;3;0;0;1;1;0;2;1;1;0;0;0;1;1;1;0;[2, 7];[1, 11];[2, 11]
sub-14;11-11-2024;14;0;2;26;1;0;1;0;0;0;0;0;0;-1;0;1;0;1;0;2;0;1;0;0;0;1;0;1;0;[3, 11];[4, 10];[2, 10]
sub-15;12-11-2024;14;2;1;36;1;0;1;0;0;0;0;0;0;3;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;[9, 11];[2, 6];[2, 6]
sub-16;05-11-2024;15.5;0;2;26;1;0;1;1;16;0;0;0;0;2;1;1;0;0;0;2;0;1;0;0;0;1;0;1;0;[6, 10];[6, 10];[2, 11]
sub-17;22-11-2024;10;0;1;27;0;0;1;1;6;0;0;0;0;4;0;1;1;1;0;2;0;1;0;0;0;0;1;0;0;[1, 10];[3, 9];[2, 11]
sub-18;18-11-2024;14;2;2;30;1;0;1;0;0;0;0;0;0;3;1;1;0;0;0;2;0;1;1;0;0;1;0;1;0;[6, 10];[4, 10];[2, 10]
sub-19;12-11-2024;10;2;1;36;0;0;1;0;0;0;0;0;0;4;0;1;1;1;0;2;0;1;0;0;0;1;0;1;0;[4, 8];[2, 9];[1, 11]
