event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,n_reps,isi
1,-2,3,2,uso_300ms_95.wav,1,-1,0.0,15,2
2,-2,3,2,uso_300ms_99.wav,1,0,0.0,15,2
3,-2,3,2,uso_300ms_47.wav,1,1,0.0,15,2
4,-2,3,2,uso_300ms_75.wav,1,2,0.0,15,2
5,-2,3,2,uso_300ms_115.wav,4,5,0.0,15,2
6,-2,3,2,uso_300ms_67.wav,5,7,0.0,15,2
7,-2,3,2,uso_300ms_63.wav,6,7,0.0,15,2
8,-2,3,2,uso_300ms_75.wav,6,9,0.0,15,2
9,-2,3,2,uso_300ms_79.wav,6,10,0.0,15,2
10,-2,3,2,uso_300ms_119.wav,6,10,0.0,15,2
11,-2,3,2,uso_300ms_87.wav,6,11,0.0,15,2
12,-2,3,2,uso_300ms_67.wav,6,12,0.0,15,2
13,-2,3,2,uso_300ms_63.wav,6,13,0.0,15,2
14,-2,3,2,uso_300ms_83.wav,6,13,0.0,15,2
15,-2,3,2,uso_300ms_79.wav,6,11,0.0,15,2
