event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,training_duration,isi,normalization_method
1,2,1,1,uso_300ms_67.wav,1,3,12.655322074890137,5,5,normalization_method
2,2,1,1,uso_300ms_91.wav,2,2,2.64037561416626,5,5,normalization_method
3,2,1,1,uso_300ms_71.wav,10,7,2.796611785888672,5,5,normalization_method
4,2,1,1,uso_300ms_71.wav,4,5,2.0623152256011963,5,5,normalization_method
5,2,1,1,uso_300ms_87.wav,5,6,2.2966771125793457,5,5,normalization_method
6,2,1,1,uso_300ms_115.wav,9,9,1.9216816425323489,5,5,normalization_method
7,2,1,1,uso_300ms_7.wav,0,1,2.3279473781585693,5,5,normalization_method
8,2,1,1,uso_300ms_47.wav,8,9,2.702868223190308,5,5,normalization_method
9,2,1,1,uso_300ms_75.wav,6,6,1.5935702323913574,5,5,normalization_method
10,2,1,1,uso_300ms_99.wav,3,5,1.8904290199279783,5,5,normalization_method
11,2,1,1,uso_300ms_35.wav,7,6,1.515472650527954,5,5,normalization_method
1,2,1,1,uso_300ms_71.wav,1,1,8.608757019042969,5,5,normalization_method
2,2,1,1,uso_300ms_71.wav,8,4,2.9997446537017822,5,5,normalization_method
3,2,1,1,uso_300ms_107.wav,0,2,2.62475323677063,5,5,normalization_method
4,2,1,1,uso_300ms_11.wav,10,6,2.7966115474700928,5,5,normalization_method
5,2,1,1,uso_300ms_95.wav,3,4,2.4216339588165283,5,5,normalization_method
6,2,1,1,uso_300ms_75.wav,9,7,2.687247037887573,5,5,normalization_method
7,2,1,1,uso_300ms_31.wav,6,5,2.062308549880981,5,5,normalization_method
8,2,1,1,uso_300ms_67.wav,2,3,2.8434860706329346,5,5,normalization_method
9,2,1,1,uso_300ms_99.wav,4,5,1.7654356956481934,5,5,normalization_method
10,2,1,1,uso_300ms_27.wav,7,8,4.343379020690918,5,5,normalization_method
11,2,1,1,uso_300ms_83.wav,5,5,2.7497622966766357,5,5,normalization_method
